epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
153,21719.4,0.42919,0.48882,0.1753,0.84718,0.82827,0.88216,0.50849,0.48431,0.47929,0.20651,7.20803e-05,7.20803e-05,7.20803e-05
154,21835.8,0.4331,0.48581,0.17573,0.84874,0.82695,0.88216,0.5091,0.48391,0.47898,0.20628,6.94413e-05,6.94413e-05,6.94413e-05
155,21948,0.4301,0.4867,0.17661,0.84876,0.82889,0.88333,0.50991,0.48381,0.47801,0.20636,6.68475e-05,6.68475e-05,6.68475e-05
156,22061.6,0.42753,0.48587,0.17425,0.84939,0.82944,0.88365,0.5103,0.48358,0.47797,0.20633,6.42995e-05,6.42995e-05,6.42995e-05
157,22177.1,0.43162,0.48443,0.17716,0.85027,0.8297,0.88432,0.51113,0.48311,0.47749,0.20607,6.1798e-05,6.1798e-05,6.1798e-05
158,22291,0.42916,0.48255,0.17533,0.84988,0.83084,0.8846,0.51201,0.48162,0.47823,0.20475,5.93435e-05,5.93435e-05,5.93435e-05
159,22403.4,0.42993,0.48892,0.17596,0.85251,0.82975,0.88528,0.51292,0.4814,0.47744,0.20483,5.69366e-05,5.69366e-05,5.69366e-05
160,22516.3,0.42712,0.48355,0.17557,0.85101,0.83069,0.88594,0.51365,0.48089,0.47702,0.20455,5.4578e-05,5.4578e-05,5.4578e-05
161,22634.8,0.42967,0.48202,0.17498,0.85013,0.83162,0.88605,0.51443,0.48071,0.47642,0.20464,5.22683e-05,5.22683e-05,5.22683e-05
162,22745.4,0.42773,0.48425,0.17473,0.85456,0.82882,0.8867,0.51468,0.48044,0.47573,0.20455,5.00079e-05,5.00079e-05,5.00079e-05
163,22855.2,0.42494,0.48257,0.1714,0.85342,0.82897,0.88738,0.51543,0.47974,0.4755,0.20434,4.77976e-05,4.77976e-05,4.77976e-05
164,22969.9,0.42846,0.48176,0.17465,0.85487,0.82952,0.8875,0.51555,0.4795,0.47513,0.20417,4.56377e-05,4.56377e-05,4.56377e-05
165,23083.4,0.42769,0.48138,0.17301,0.85559,0.82921,0.88822,0.51604,0.47916,0.47494,0.20402,4.35288e-05,4.35288e-05,4.35288e-05
166,23193.5,0.42058,0.48219,0.1706,0.85446,0.83078,0.88854,0.51635,0.4789,0.47499,0.20362,4.14716e-05,4.14716e-05,4.14716e-05
167,23304.2,0.42656,0.47704,0.17177,0.85531,0.83201,0.88888,0.51663,0.4782,0.475,0.20332,3.94663e-05,3.94663e-05,3.94663e-05
168,23418.9,0.42485,0.48029,0.17357,0.85494,0.83185,0.88927,0.5178,0.47733,0.47435,0.20288,3.75137e-05,3.75137e-05,3.75137e-05
169,23535.9,0.42871,0.48016,0.17416,0.85519,0.83249,0.8897,0.51831,0.47691,0.47413,0.20287,3.56141e-05,3.56141e-05,3.56141e-05
170,23645.9,0.42168,0.47992,0.17037,0.85553,0.8325,0.89002,0.51872,0.4766,0.47418,0.20219,3.3768e-05,3.3768e-05,3.3768e-05
171,23759.1,0.42243,0.48104,0.17154,0.85526,0.83296,0.89035,0.51879,0.47657,0.47417,0.20202,3.19759e-05,3.19759e-05,3.19759e-05
172,23878.4,0.4246,0.47934,0.17067,0.85665,0.83358,0.89101,0.51909,0.47665,0.47343,0.20202,3.02382e-05,3.02382e-05,3.02382e-05
173,23987.5,0.42286,0.47812,0.17263,0.85675,0.83435,0.8911,0.5194,0.47652,0.47309,0.20169,2.85553e-05,2.85553e-05,2.85553e-05
174,24102.2,0.42275,0.47891,0.17298,0.85651,0.83458,0.89138,0.51996,0.47618,0.47288,0.2018,2.69277e-05,2.69277e-05,2.69277e-05
175,24220.3,0.41885,0.4777,0.17047,0.85615,0.8359,0.89163,0.52014,0.47573,0.47269,0.20117,2.53557e-05,2.53557e-05,2.53557e-05
